"Region","School District","Year","Gender","Total"
91,"Nechako Lakes",2003,"T",23872
92,"Nisga'a",2003,"T",1992
5,"Southeast Kootenay",2004,"T",38931
6,"Rocky Mountain",2004,"T",23849
8,"Kootenay Lake",2004,"T",39201
10,"Arrow Lakes",2004,"T",4725
19,"Revelstoke",2004,"T",7982
20,"Kootenay-Columbia",2004,"T",31713
22,"Vernon",2004,"T",59999
23,"Central Okanagan",2004,"T",159341
27,"Cariboo - Chilcotin",2004,"T",41516
28,"Quesnel",2004,"T",23394
33,"Chilliwack",2004,"T",75779
34,"Abbotsford",2004,"T",128808
35,"Langley",2004,"T",118110
36,"Surrey",2004,"T",414447
37,"Delta",2004,"T",101089
38,"Richmond",2004,"T",179290
39,"Vancouver",2004,"T",598387
40,"New Westminster",2004,"T",59623
41,"Burnaby",2004,"T",206524
42,"Maple Ridge-Pitt Meadows",2004,"T",84334
43,"Coquitlam",2004,"T",203922
44,"North Vancouver",2004,"T",132424
45,"West Vancouver",2004,"T",50076
46,"Sunshine Coast",2004,"T",26619
47,"Powell River",2004,"T",19186
48,"Sea to Sky",2004,"T",31556
49,"Central Coast",2004,"T",3707
50,"Haida Qwaii/Queen Charlotte",2004,"T",4779
51,"Boundary",2004,"T",12133
52,"Prince Rupert",2004,"T",15824
53,"Okanagan Similkameen",2004,"T",22889
54,"Bulkley Valley",2004,"T",15612
57,"Prince George",2004,"T",96943
58,"Nicola - Similkameen",2004,"T",16078
59,"Peace River South",2004,"T",25986
60,"Peace River North",2004,"T",32635
61,"Greater Victoria",2004,"T",214067
62,"Sooke",2004,"T",58043
63,"Saanich",2004,"T",61437
64,"Gulf Islands",2004,"T",14214
67,"Okanagan Skaha",2004,"T",50277
68,"Nanaimo-Ladysmith",2004,"T",106083
69,"Qualicum",2004,"T",40198
70,"Alberni",2004,"T",30676
71,"Comox Valley",2004,"T",57913
72,"Campbell River",2004,"T",39125
73,"Kamloops/Thompson",2004,"T",104909
74,"Gold Trail",2004,"T",11768
75,"Mission",2004,"T",38758
78,"Fraser - Cascade",2004,"T",16544
79,"Cowichan Valley",2004,"T",65107
81,"Fort Nelson",2004,"T",6231
82,"Coast Mountains",2004,"T",37974
83,"Okanagan - Shuswap",2004,"T",50629
84,"Vancouver Island West",2004,"T",2649
85,"Vancouver Island North",2004,"T",12777
87,"Stikine",2004,"T",2228
91,"Nechako Lakes",2004,"T",24015
92,"Nisga'a",2004,"T",1984
5,"Southeast Kootenay",2005,"T",38715
6,"Rocky Mountain",2005,"T",23907
8,"Kootenay Lake",2005,"T",39156
10,"Arrow Lakes",2005,"T",4662
19,"Revelstoke",2005,"T",7912
20,"Kootenay-Columbia",2005,"T",31728
22,"Vernon",2005,"T",61014
23,"Central Okanagan",2005,"T",163061
27,"Cariboo - Chilcotin",2005,"T",41066
28,"Quesnel",2005,"T",23079
